uid,text_info
100001,1968 Margaret Smith Court (Aus) d. Virginia Wade 6-3 4-6 6-4
100002,1969 Virginia Wade d. Julie Heldman (US) 6-4 6-4
100003,1970 Virginia Wade d. Ann Haydon Jones 6-3 1-6 7-5
100004,1971 Virginia Wade d. Evonne Goolagong (Aus) 7-6 6-3
100005,1972 Margaret Smith Court (Aus) d. Virginia Wade 6-3 6-4
100006,1973 Virginia Wade d. Julie Heldman (US) 6-3 6-1
100007,1976 Michele Tyler d. Sue Mappin 6-1 6-3
100008,1956 Joan Curry (GB) d. Louise Snow (US) 6-3 6-3
100009,1957 Christiane Mercelis (Bel) d. Pat Ward (GB) 1-6 6-3 6-1
100010,1958 Suzy Kormoczy (Hun) d. Yola Ramirez (Mex) 6-4 7-5
100011,1959 Yola Ramirez (Mex) d. Flo De La Courtie 7-5 6-1
100012,1960 Edda Buding (Frg) d. Ruia Morrison (Nzl) 6-4 8-6
100013,1961 Margaret Smith (Aus) d. Elizabeth Starkie (GB) 6-2 6-3
100014,1962 Jill Blackman (Aus) d. Christiane Mercelis (Bel) 6-4 6-3
100015,1963 Lesley Turner (Aus) d. Jan Lehane (Aus) 5-7 6-4 6-3
100016,1964 Jan Lehane (Aus) d. Madonna Schacht (Aus) 6-1 6-0
100017,1965 Robin Lesh (Aus) d. Jitka Horcickova Volavkova (Tch) 3-6 6-4 6-4
100018,1966 Francoise Durr d. Jill Blackman (Aus) 6-0 6-2
100019,1967 Gail Sherriff (Aus) d. Joan Gibson Cottrill (Aus) 7-5 13-11
100020,1968 Gail Sherriff (Aus) d. Rosie Reyes Darmon 6-3 6-1
100021,1969 Ann Haydon Jones (GB) d. Francoise Durr 6-1 6-1
100022,1970 Fiorella Bonicelli (Uru) d. Odile de Roubin 11-9 4-6 6-1
100023,1971 Fiorella Bonicelli (Uru) d. Odile de Roubin 6-2 5-7 8-6
100024,1973 A.M. Ganzabal d. Seagalen 6-3 6-4
100025,1974 Gail Sherriff Chanfreau d. Odile de Roubin 6-4 6-3
100026,1988 Judith Polzl Wiesner (Aut) d. Sylvia Hanika (Frg) 6-1 6-2
100027,1925 Dorothy Holman (GB) d. Coela Herring Pryce-Harrison (GB) 6-3 6-4
100028,1927 Ida Quintavalle d. Carla Isotta 9-7 6-3
100029,1928 Lucia Valerio d. Claire Beckingham (GB) 6-1 6-3
100030,1929 N. Hunt (GB) d. S. de la Prynne 6-4 3-6 6-2
100031,1930 (Spring) Lucia Valerio d. Phyllis Carr Satterthwaite (GB) 6-1 6-2
100032,1930 (Summer) Ionides d. Bettramine 0-6 7-5 9-7
100033,1931 Betty Boas (GB) d. Miss Garfit 6-2 6-3
100034,1932 Dorothy Andrus Burke (US) d. Ilse Weihermann Friedleben (Ger) 6-0 9-7
100035,1933 Elizabeth Ryan (US) d. Ucci Manzutto 6-2 6-0
100036,1934 Cilly Aussem (Ger) d. Elizabeth Ryan (USA) 6-3 6-4
100037,1935 Edith Belliard (Fra) d. Cilly Aussem (Ger) 6-3 1-6 6-3
100038,1937 Minni Hein Muller (Tch) d. Trude Wolf (Aut) 6-1 7-9 6-1
100039,1938 Minni Hein Müller (Tch) d. Klara Hammer Beutter (Ger) 6-4 5-7 6-2
100040,1939 Gracyn Wheeler (US) d. Klara Somogyi (Hun) 6-3 6-2
100041,1940 Hella Kovac (You) d. Alice Florian (You) 6-2 7-5
100042,1906 [Calgary] Miss Thomason
100043,1907 [Calgary] Mrs Clark
100044,1908 [Calgary] Mrs H. Dudley-Smith
100045,1909 [Calgary] Miss Sterling
100046,1910 [Calgary] Mrs H. Dudley-Smith
100047,1911 [Calgary] Mrs H. Dudley-Smith
100048,1912 [Calgary] Mrs H. Dudley-Smith
100049,1913 [Edmonton] Mrs Welsh
100050,1914 [Calgary] Mrs McLaughlin
100051,1915 [Edmonton] Mrs Hedley
100052,1919 [Calgary] Mrs Grace Wormald
100053,1920 [Edmonton] Mrs G. Beart
100054,1921 [Calgary] Mrs Grace Wormald
100055,1922 [Edmonton] Marjorie Collinge Eustace
100056,1923 [Calgary] Mrs Simone Bourque
100057,1924 [Edmonton] Mrs Simone Bourque d. Marjorie Collinge 7-5 6-2
100058,1925 [Calgary] Mrs Simone Bourque d. Mrs Grace Wormald 6-4 6-3
100059,1926 [Edmonton] Mrs Simone Bourque
100060,1927 [Calgary] Marjorie Collinge Eustace
100061,1928 [Edmonton] Ellen Mulholland d. Mrs Victor Johnson 7-5 6-4
100062,1929 [Calgary] Marjorie Collinge Eustace
100063,1930 [Edmonton] Marjorie Collinge Eustace
100064,1931 [Calgary] Marjorie Collinge Eustace d. Mrs Victor Johnson 6-1 6-0
100065,1932 [Edmonton] Mrs Victor Johnson
100066,1933 [Calgary] Mrs Victor Johnson d. Marjorie Collinge Eustace 3-6 6-2 6-4
100067,1934 [Edmonton] Marjorie Collinge Eustace d. Mrs Victor Johnson 6-4 6-0
100068,1935 [Calgary] Ruby Roberts Fisher d. Mrs Victor Johnson 6-0 5-7 6-4
100069,1936 [Edmonton] Marjorie Collinge Eustace d. Ruby Roberts Fisher 7-5 7-5
100070,1937 [Calgary] Ruby Roberts Fisher d. Marjorie Collinge Eustace 6-4 6-4
100071,1938 [Banff] Clara Ehman
100072,1939 [Lethbridge] Marjorie Collinge Eustace
